artist,album,release-date,listeners,playcount,tags,ignored tags
At the Gates,The Red in the Sky Is Ours,1992-07-27,68756,978543,['death metal'],"['Melodic Death Metal', 'albums I own', '1992', 'progressive death metal']"
Sadus,Illusions,1988,6860,190975,"['thrash metal', 'death metal']","['metal', '80s', 'albums I own']"
Discharge,Hear Nothing See Nothing Say Nothing,1982-05,68477,1457067,['crust punk'],"['hardcore punk', 'd-beat', 'hardcore', '1982']"
Burzum,Fallen,2011-03-07,68043,1456786,['black metal'],"['atmospheric black metal', '2011', 'Norwegian Black Metal', 'albums I own']"
Katatonia,Brave Murder Day,1996,67957,1643218,"['doom metal', 'death metal']","['Death Doom Metal', '1996', 'albums I own']"
Ne Obliviscaris,The Aurora Veil,2007-04-21,6790,112744,['black metal'],"['Progressive metal', 'progressive black metal', 'albums I own', 'violin']"
Burzum,Belus,2010-03-05,67845,2196467,['black metal'],"['atmospheric black metal', 'Norwegian Black Metal', '2010', 'true black metal']"
Deicide,Deicide,1990-06,67507,1194760,['death metal'],"['old school death metal', '1990', 'albums I own', 'Brutal Death Metal']"
Electric Wizard,Witchcult Today,2007-11-12,67397,1741543,"['doom metal', 'stoner metal']","['2007', 'stoner doom', 'Stoner Rock']"
Devin Townsend,Ziltoid the Omniscient,2007-05-18,67139,2122764,[],"['coffee metal', 'Progressive metal', 'seen live', 'metal', 'albums I own']"
Immortal,All Shall Fall,2009-09-25,66835,1649866,['black metal'],"['2009', 'Norwegian Black Metal', 'metal', 'albums I own']"
Morbid Angel,Domination,1995-05-09,66821,1517441,['death metal'],"['albums I own', '1995', 'favourite albums', 'morbid angel']"
Moonsorrow,Voimasta ja Kunniasta,2001-11-26,66728,1263773,"['viking metal', 'folk metal', 'pagan metal', 'black metal']",['albums I own']
Terrorizer,World Downfall,1989-11,66653,1619457,"['grindcore', 'death metal', 'deathgrind']","['1989', 'albums I own']"
Deicide,Scars Of The Crucifix,2004-02-23,66619,954776,['death metal'],"['Brutal Death Metal', '2004', 'albums I own', 'satanic']"
Alice in Chains,Jar of Flies,1994-01-18,665561,8617851,[],"['Grunge', 'albums I own', '90s', 'rock', 'alternative rock']"
Dissection,The Somberlain,1993-12-03,66236,1795984,"['black metal', 'death metal']","['melodic black metal', 'Melodic Death Metal', 'albums I own']"
