artist,album,release-date,listeners,playcount,tags,ignored tags
Anthrax,Spreading the Disease,1985-10-30,312114,2818340,"['thrash metal', 'speed metal', 'heavy metal']","['albums I own', 'metal']"
Death Angel,Act III,1990,30991,600650,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '1990']"
Quo Vadis,Defiant Imagination,2004-11-04,30985,690239,['death metal'],"['Melodic Death Metal', 'Technical Death Metal', 'progressive death metal', 'metal']"
Onslaught,Killing Peace,2007-03-05,30842,346296,"['thrash metal', 'heavy metal']","['UK thrash', 'metal', 'albums I own']"
Lost Horizon,A Flame to the Ground Beneath,2003-02-24,30692,616271,[],"['Power metal', '2003', 'albums I own', '2000s', 'Progressive metal']"
Borknagar,The Olden Domain,1997-08-18,30487,437844,"['black metal', 'viking metal', 'folk metal']","['Progressive metal', 'albums I own']"
Grim Reaper,See You in Hell,1983,30487,319042,"['heavy metal', 'NWOBHM']","['80s', 'metal', 'New Wave of British Heavy Metal']"
Exodus,Impact Is Imminent,1990-06-21,30389,399757,['thrash metal'],"['1990', 'albums I own', 'thrash', 'bay area thrash metal']"
Candlemass,King of the Grey Islands,2007-06-22,30255,617734,"['doom metal', 'heavy metal']","['Epic Doom Metal', 'Traditional Doom Metal', '2007']"
Origin,Echoes of Decimation,2005-03-15,30221,502016,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', 'metal', '2005']"
Sonata Arctica,Ecliptica,1999-08-29,298783,7209437,"['symphonic metal', 'melodic metal']","['Power metal', 'albums I own', 'metal']"
Moonsorrow,Varjoina kuljemme kuolleiden maassa,2011-02-21,29763,774389,"['pagan metal', 'black metal']","['2011', 'albums I own', 'favourite albums']"
Brain Drill,Apocalyptic Feasting,2008-02-05,29571,489854,['death metal'],"['Brutal Death Metal', 'Technical Death Metal', 'metal', '2008']"
DragonForce,Sonic Firestorm,2004-03-24,295670,4670792,['speed metal'],"['Power metal', 'Extreme Power Metal', 'metal', 'albums I own']"
Falkenbach,Ok Nefna Tysvar Ty,2003-11-03,29482,737773,"['viking metal', 'folk metal', 'black metal', 'pagan metal']",['albums I own']
Reverend Bizarre,In the Rectory of the Bizarre Reverend,2002-03-28,29388,398132,['doom metal'],"['Traditional Doom Metal', '2002', 'albums I own', 'true doom metal']"
Killswitch Engage,The End of Heartache,2004,292343,9967517,['metalcore'],"['albums I own', 'metal', 'hardcore', 'Melodic Death Metal']"
In Flames,Soundtrack to Your Escape,2004-03-17,291548,11461388,['alternative metal'],"['Melodic Death Metal', 'albums I own', 'metal', '2004']"
Nuclear Assault,Game Over,1986,29144,727023,"['thrash metal', 'crossover thrash']","['1986', 'Megadeth', '80s']"
Amon Amarth,Twilight of the Thunder God,2008-09-17,290981,11788120,"['viking metal', 'death metal']","['Melodic Death Metal', 'albums I own', '2008']"
Skinless,"Trample the Weak, Hurdle the Dead",2006-06-13,29092,422840,['death metal'],"['Brutal Death Metal', 'metal', 'USA', 'favorite albums']"
Spiral Architect,A Sceptic's Universe,1999-12-19,29050,401545,['heavy metal'],"['Progressive metal', 'Technical Metal', 'metal', 'math metal']"
Cryptopsy,And Then You'll Beg,2000-10-31,28955,364562,"['death metal', 'grindcore']","['Technical Death Metal', 'Brutal Death Metal', 'metal']"
Exodus,Pleasures of the Flesh,1987-10-07,28889,569597,['thrash metal'],"['metal', 'albums I own', '1987', 'bay area thrash metal']"
Stratovarius,Elysium,2011-01-12,28857,685922,['symphonic metal'],"['Power metal', '2011', 'Progressive metal', 'progressive power metal']"
Vektor,Black Future,2009-11-17,28768,716134,['thrash metal'],"['Technical Thrash Metal', 'progressive thrash metal', '2009', 'Progressive metal']"
Darkthrone,The Underground Resistance,2013-02-25,28674,512686,"['black metal', 'heavy metal', 'speed metal']","['2013', 'metal']"
In Flames,A Sense of Purpose,2008-03-26,286168,13995791,"['alternative metal', 'melodic metal']","['Melodic Death Metal', 'albums I own', 'metal']"
Mercyful Fate,Mercyful Fate,1982,2859,50620,"['heavy metal', 'black metal']","['1982', 'Dont burn the witch', 'metal']"
Dismember,Death Metal,1997-08-08,28544,505722,"['death metal', 'thrash metal']","['albums I own', '1997', 'Swedish Death Metal']"
Obituary,The End Complete,1992-04-21,28316,521290,['death metal'],"['albums I own', 'old school death metal', '1992', '90s']"
Overkill,I Hear Black,1993-03-05,28256,305311,"['thrash metal', 'heavy metal']","['groove metal', '1993', 'albums I own']"
Skeletonwitch,Beyond the Permafrost,2007-10-02,28196,912362,"['thrash metal', 'black metal']","['blackened thrash metal', 'metal', 'Melodic Thrash Metal']"
Deathspell Omega,"FAS - Ite, Maledicti, in ignem Aeternum",2007-07-16,28146,607710,['black metal'],"['Avant-Garde Black Metal', '2007', 'progressive black metal', 'technical black metal']"
Marduk,Those of the Unlight,1993-10-01,28142,516670,['black metal'],"['albums I own', 'swedish black metal', 'swedish', '90s']"
Destruction,Release From Agony,1987-12-01,27976,410477,"['thrash metal', 'teutonic thrash metal']","['german thrash metal', '1988', 'metal']"
Carnivore,Carnivore,1985,27871,409384,"['thrash metal', 'crossover thrash', 'speed metal']","['metal', '1985']"
Disillusion,Back To Times of Splendor,2004-04-05,27784,601837,[],"['Progressive metal', 'Melodic Death Metal', 'progressive death metal', 'metal', 'Masterpiece']"
Meshuggah,I,2004-07-13,27580,150968,[],"['Progressive metal', 'albums I own', 'math metal', 'Technical Metal', '2004']"
Marduk,Rom 5:12,2007-04-27,27535,798359,['black metal'],"['albums I own', '2007', 'Masterpiece', 'swedish black metal']"
Mötley Crüe,Shout at the Devil,1983-09-26,274632,3004624,"['heavy metal', 'hair metal']","['hard rock', 'Glam Metal', 'albums I own']"
Into Eternity,Buried In Oblivion,2004-02-10,27381,541450,['death metal'],"['Progressive metal', 'Melodic Death Metal', 'progressive death metal', 'metal']"
Blind Guardian,Nightfall in Middle-Earth,1998-04-24,272946,7935375,[],"['Power metal', 'Tolkien', 'albums I own', 'concept album', 'metal']"
Crimson Glory,Transcendence,1988,27241,448477,['heavy metal'],"['Progressive metal', '1988', 'Power metal', 'metal']"
Sonata Arctica,Silence,2001-01,271651,7308576,['melodic metal'],"['Power metal', 'albums I own', 'finnish', 'metal']"
Darkthrone,Goatlord,1996-10-24,27163,429145,"['black metal', 'death metal']","['metal', 'raw black metal', '1996']"
Manowar,Kings of Metal,1988-11-18,270745,3719977,['heavy metal'],"['Power metal', 'albums I own', 'true metal', 'metal']"
Skeletonwitch,Forever Abomination,2011-10-11,26954,628288,"['thrash metal', 'black metal']","['2011', 'blackened thrash metal', 'albums I own']"
Fen,The Malediction Fields,2009-01-16,26915,457089,"['black metal', 'blackgaze']","['atmospheric black metal', '2009', 'post-rock']"
Mayhem,Esoteric Warfare,2014-06-06,26905,576086,['black metal'],"['2014', 'Norwegian Black Metal', 'best of 2014', '2014: albums']"
Cattle Decapitation,The Harvest Floor,2009-01-19,26861,655136,"['death metal', 'deathgrind', 'grindcore']","['Brutal Death Metal', '2009']"
Suffocation,Breeding the Spawn,1993-05-18,26683,374838,['death metal'],"['Technical Death Metal', '1993', 'Brutal Death Metal', 'metal']"
Iced Earth,Alive in Athens,1999-07-19,26490,1112224,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', 'live']"
Vio-Lence,Eternal Nightmare,1988-08,26321,606204,['thrash metal'],"['bay area thrash metal', '1988', 'Megadeth', 'favourite albums']"
Hibria,Defying the Rules,2004-11-10,26317,407203,['heavy metal'],"['Power metal', 'brazilian metal', 'metal', 'albums I own']"
Darkthrone,Hate Them,2003-03-17,26177,350317,['black metal'],"['2003', 'metal', '2000s', 'True Norwegian Black Metal']"
Killswitch Engage,Alive or Just Breathing,2002-05-13,261429,7137150,['metalcore'],"['albums I own', 'hardcore', 'metal', '2002']"
Ozzy Osbourne,Bark at the Moon,1983-12-10,261235,2041665,['heavy metal'],"['albums I own', 'hard rock', '1983', 'Ozzy Osbourne']"
Immolation,Dawn of Possession,1991-08-16,26091,602996,['death metal'],"['old school death metal', '1991', 'albums I own', 'Technical Death Metal']"
Gorguts,The Erosion of Sanity,1993-01-19,26050,443478,['death metal'],"['Technical Death Metal', '1993', 'albums I own', 'Brutal Death Metal']"
Dream Theater,Train of Thought,2003-11-08,260328,5866187,['heavy metal'],"['Progressive metal', 'albums I own', 'Progressive rock', 'metal']"
Sodom,Tapping the Vein,1992-08-01,25889,596431,"['thrash metal', 'teutonic thrash metal', 'death metal']","['german thrash metal', 'german']"
Xasthur,Subliminal Genocide,2005,25860,445595,['black metal'],"['depressive black metal', 'albums I own', '2006', 'Suicidal Black Metal']"
Katatonia,The Great Cold Distance,2006-03-13,257652,10625551,['doom metal'],"['Progressive metal', 'albums I own', 'depressive rock', '2006']"
In Flames,Colony,1999-05-21,256632,7880193,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'Swedish Metal']"
Rush,Permanent Waves,1980-01-01,254867,2668970,[],"['Progressive rock', 'hard rock', 'albums I own', 'classic rock', 'rock']"
Scorpions,Blackout,1982,254003,2111191,['heavy metal'],"['hard rock', 'classic rock', '80s', 'rock']"
Anata,The Conductor's Departure,2006-06-26,25382,391874,['death metal'],"['Technical Death Metal', 'albums I own', 'my albums', 'Progressive metal']"
Slayer,Show No Mercy,1983-12-01,252944,5203847,"['thrash metal', 'speed metal', 'heavy metal']","['1983', 'albums I own']"
Fates Warning,Awaken the Guardian,1986,25242,371837,['heavy metal'],"['Progressive metal', '1986', 'metal', 'albums I own']"
Mastodon,Crack the Skye,2009-02-23,251761,8727574,['sludge metal'],"['Progressive metal', '2009', 'albums I own', 'best of 2009']"
Sodom,In the Sign of Evil,1984-05-05,25162,231555,"['thrash metal', 'black metal', 'speed metal']","['proto-black metal', 'metal']"
Opeth,Ghost Reveries,2005-08-26,250933,8948000,['death metal'],"['albums I own', 'Progressive metal', 'progressive death metal', 'metal']"
Falconer,Among Beggars And Thieves,2008-08-27,25091,582900,"['folk metal', 'heavy metal']","['Power metal', 'metal', '2008']"
Belphegor,Blood Magick Necromance,2011-01-14,25078,594909,"['black metal', 'death metal']","['2011', 'Blackened Death Metal', 'best of 2011']"
Machine Head,Burn My Eyes,1994-08-01,248470,3997690,['thrash metal'],"['groove metal', 'albums I own', 'metal', '1994']"
Enslaved,Eld,1997-03-21,24722,382066,"['black metal', 'viking metal']","['1997', 'albums I own', 'metal']"
Spawn of Possession,Incurso,2012-03-13,24673,547066,['death metal'],"['Technical Death Metal', '2012', 'Brutal Technical Death Metal', 'best of 2012']"
Gojira,From Mars to Sirius,2005-09-27,246116,8569140,['death metal'],"['whalecore', 'progressive death metal', 'Progressive metal', 'albums I own']"
Iron Maiden,A Matter of Life and Death,2006-08-28,245272,6681505,['heavy metal'],"['albums I own', 'Progressive metal', 'metal', '2006']"
Keep of Kalessin,Kolossus,2008-06-06,24421,595349,['black metal'],"['albums I own', '2008', 'melodic black metal', 'favourite albums']"
Candlemass,Death Magic Doom,2009-04-01,24381,557510,"['doom metal', 'heavy metal']","['2009', 'Traditional Doom Metal', '2000s']"
Xasthur,Telepathic With the Deceased,2004-06,24253,387969,"['black metal', 'doom metal']","['albums I own', 'depressive black metal', 'dark']"
Voivod,War And Pain,1984-08-10,24133,307581,['thrash metal'],"['1984', 'albums I own', 'metalpunk', 'metal']"
Queensrÿche,The Warning,1983,24121,373271,['heavy metal'],"['Progressive metal', 'albums I own', 'metal', 'rock']"
Dream Theater,Octavarium,2005-06-06,240876,6609739,[],"['Progressive metal', 'albums I own', 'Progressive rock', 'Progressive', 'metal']"
Nightwish,Angels Fall First,1997-11-01,240649,6309559,['symphonic metal'],"['albums I own', 'Gothic Metal', 'Power metal', 'metal']"
Drudkh,Microcosmos,2009-06-22,24050,527087,"['black metal', 'folk metal']","['atmospheric black metal', '2009', 'albums I own']"
Asphyx,Deathhammer,2012-02-24,24009,512071,['death metal'],"['2012', 'metal', 'best of 2012', 'old school death metal']"
Malevolent Creation,The Ten Commandments,1991-04-09,23976,448893,"['death metal', 'thrash metal']","['old school death metal', 'metal', 'albums I own']"
Dream Theater,Awake,1994-10-04,239485,6842960,[],"['Progressive metal', 'albums I own', 'Progressive rock', 'metal', 'Progressive']"
At the Gates,Slaughter of the Soul,1995-11-14,236439,6127038,['death metal'],"['Melodic Death Metal', 'albums I own', '1995', 'favorite albums']"
Nokturnal Mortum,Нехристь,1999,2363,56548,['black metal'],"['pagan black metal', 'best of 1999', 'NS folk metal']"
Accept,Balls to the Wall,1983,235072,2276647,['heavy metal'],"['hard rock', '1983', 'metal', 'albums I own']"
Pantera,Reinventing the Steel,2000-03-14,231336,3890413,"['thrash metal', 'heavy metal']","['groove metal', 'albums I own', 'metal']"
Mgła,With Hearts Toward None,2012-02-28,23118,1022873,['black metal'],"['2012', 'albums I own', 'best of 2012', 'favourite albums']"
Mastodon,Blood Mountain,2006-09-08,230717,8775122,['sludge metal'],"['Progressive metal', 'albums I own', '2006', 'metal']"
Amon Amarth,With Oden On Our Side,2006-09-20,230046,6976014,"['viking metal', 'death metal']","['Melodic Death Metal', 'albums I own', 'metal']"
Grave Digger,The Grave Digger,2001-10-22,23002,335923,"['heavy metal', 'thrash metal']","['favorite albums', 'Power metal', '2001']"
Forbidden,Forbidden Evil,1988-09-30,22939,452372,['thrash metal'],"['Technical Thrash Metal', '1988', 'bay area thrash metal', 'metal']"
Kyuss,Blues for the Red Sun,1992-06-30,229192,7306633,['stoner metal'],"['Stoner Rock', 'albums I own', 'desert rock', '1992']"
Rush,2112,1976-04-01,228811,3120325,[],"['Progressive rock', 'albums I own', 'classic rock', 'hard rock', 'rock']"
In Solitude,Sister,2013-09-27,22863,415683,['heavy metal'],"['2013', 'metal', 'Post punk', 'Gothic Rock']"
Nile,At the Gate of Sethu,2012-06-29,22852,622276,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2012', 'albums I own']"
Kamelot,The Black Halo,2005-02-16,228506,7309454,['symphonic metal'],"['Power metal', 'Progressive metal', 'albums I own', 'Melodic Power Metal']"
Demolition Hammer,Tortured Existence,1990,22800,344333,"['thrash metal', 'death metal']","['1990', 'metal', 'albums I own']"
Anthrax,Persistence Of Time,1990-08-07,227624,2144914,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '1990']"
Gamma Ray,Land Of The Free II,2007-11-16,22748,735618,"['heavy metal', 'speed metal']","['Power metal', '2007', 'albums I own']"
Lamb of God,As the Palaces Burn,2003-05-06,225728,4695033,"['metalcore', 'thrash metal']","['albums I own', 'groove metal', 'metal']"
Meshuggah,ObZen,2008-02-27,225033,6114044,['death metal'],"['Progressive metal', 'math metal', '2008', 'Technical Death Metal']"
Pantera,The Great Southern Trendkill,1996-05-03,224037,5370394,"['thrash metal', 'heavy metal']","['groove metal', 'metal', 'albums I own']"
Satyricon,Satyricon,2013-09-04,22370,659267,['black metal'],"['albums I own', '2013', 'best of 2013', 'Post-Black Metal']"
Fear Factory,Archetype,2004-04-19,223668,3595741,[],"['industrial metal', 'metal', 'albums I own', 'industrial', '2004']"
Dream Theater,Systematic Chaos,2007-06-01,222742,5976718,[],"['Progressive metal', 'albums I own', 'Progressive rock', 'metal', '2007']"
Rainbow,Ritchie Blackmore's Rainbow,1975,222696,2668447,[],"['hard rock', 'classic rock', 'rock', 'Rainbow', '70s']"
Annihilator,Carnival Diablos,2001-01-23,22194,411906,"['thrash metal', 'heavy metal', 'speed metal']","['metal', '2001']"
Xasthur,Nocturnal Poisoning,2002-08,22124,292236,['black metal'],"['albums I own', 'Suicidal Black Metal', 'depressive black metal', 'atmospheric black metal']"
Metallica,S&M,1999-11-22,220927,5742426,"['symphonic metal', 'thrash metal', 'heavy metal']","['albums I own', 'metal']"
Beherit,Engram,2009-04-09,22008,443814,['black metal'],"['raw black metal', 'old school black metal', 'metal', 'favorite albums']"
Gojira,The Way of All Flesh,2008-10-06,220018,7739857,['death metal'],"['progressive death metal', 'Progressive metal', '2008', 'metal']"
Iron Maiden,No Prayer For The Dying,1990-10-01,219987,4081740,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '1990']"
Soilwork,Stabbing the Drama,2005-01,219823,6230249,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', 'Swedish Metal']"
Testament,The Legacy,1987-04-21,219815,2204537,"['thrash metal', 'heavy metal']","['albums I own', '1987', 'metal']"
Lurker of Chalice,Lurker of Chalice,2002,21903,551099,['black metal'],"['albums I own', '2005', 'experimental black metal', 'favorite albums']"
Amon Amarth,Fate of Norns,2004-09-06,218360,4965289,"['viking metal', 'death metal']","['Melodic Death Metal', 'albums I own', 'metal']"
In Flames,Whoracle,1997-10-15,218071,6749101,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', '1997']"
Akercocke,Antichrist,2007-05-28,21726,529896,"['death metal', 'black metal']","['Blackened Death Metal', 'albums I own', 'metal']"
Machine Head,The Blackening,2007-03-23,215415,6340123,['thrash metal'],"['albums I own', 'groove metal', 'metal', '2007']"
Nokturnal Mortum,Goat Horns,1997-07,21459,388472,"['black metal', 'pagan metal', 'folk metal']","['pagan black metal', 'Symphonic Black Metal']"
Morbid Saint,Spectrum of Death,1988-09,21455,492541,"['thrash metal', 'death metal']","['FUCKING AWESOME', 'metal', 'classic']"
Sarcófago,I.N.R.I.,1987-08,21358,458282,"['black metal', 'thrash metal', 'death metal']","['1987', 'blackened thrash metal']"
Malevolent Creation,Retribution,1992-06-30,21196,377896,"['death metal', 'thrash metal']","['old school death metal', '1992', 'metal']"
Augury,Concealed,2004,21080,364111,['death metal'],"['progressive death metal', '2004', 'Technical Death Metal', 'Masterpiece']"
Pestilence,Spheres,1993-08-31,21075,394731,['death metal'],"['Technical Death Metal', 'progressive death metal', 'Progressive metal', 'jazz fusion']"
Queensrÿche,Operation: Mindcrime II,2006-03-29,20987,344126,['heavy metal'],"['Progressive metal', 'albums I own', 'concept album', 'Progressive rock']"
Ozzy Osbourne,Diary of a Madman,1981-11-07,208778,1903272,['heavy metal'],"['hard rock', 'albums I own', '1981', '80s']"
Opeth,Still Life,1999-10-18,208651,4756115,['death metal'],"['Progressive metal', 'progressive death metal', 'albums I own', 'concept album']"
Rush,A Farewell to Kings,1977-09,208580,2215588,[],"['Progressive rock', 'albums I own', 'classic rock', 'hard rock', 'rock']"
Limbonic Art,Moon in the Scorpio,1996-07,20852,353734,['black metal'],"['Symphonic Black Metal', 'atmospheric black metal', '1996', 'albums I own']"
Dimmu Borgir,Death Cult Armageddon,2003-09-08,208029,4709924,['black metal'],"['Symphonic Black Metal', 'albums I own', 'melodic black metal', 'metal']"
Leviathan,The Tenth Sub Level of Suicide,2003-09-29,20801,364864,['black metal'],"['depressive black metal', 'albums I own', '2003', 'Suicidal Black Metal']"
Rotting Christ,Triarchy of the Lost Lovers,1996-04-29,20684,413089,['black metal'],"['melodic black metal', '1996', 'metal', 'Greek']"
Warning,Watching From A Distance,2006-12,20666,423870,['doom metal'],"['Masterpiece', 'Traditional Doom Metal', 'favorite albums', '2007']"
Absu,Absu,2009-02-16,20595,656417,"['black metal', 'thrash metal']","['2009', 'albums I own', 'blackened thrash metal']"
Ensiferum,Ensiferum,2001-07,205812,7457736,"['folk metal', 'viking metal']","['Melodic Death Metal', 'albums I own', 'finnish']"
Crimson Glory,Crimson Glory,1986,20549,337129,['heavy metal'],"['Progressive metal', '1986', 'Power metal', 'albums I own']"
Destruction,Eternal Devastation,1986-07-12,20484,317816,['thrash metal'],"['german thrash metal', '1986', '80s', 'albums I own']"
Amesoeurs,Ruines Humaines,2006-10-06,20381,440134,"['black metal', 'blackgaze']","['post-punk', 'shoegaze', 'depressive black metal']"
Megadeth,Cryptic Writings,1997-05-28,203667,4082964,"['heavy metal', 'thrash metal']","['albums I own', 'metal', 'hard rock']"
The Crown,Deathrace King,2000-03-22,20337,529913,"['thrash metal', 'death metal']","['Melodic Death Metal', 'metal', '2000']"
Nocturnus,The Key,1990-08,20308,484115,['death metal'],"['Technical Death Metal', 'progressive death metal', '1990', 'albums I own']"
Darkspace,Dark Space III,2008-05-30,20300,343415,"['black metal', 'ambient black metal']","['atmospheric black metal', '2008', 'dark ambient']"
Ensiferum,Iron,2004-04-15,202841,6542582,"['folk metal', 'viking metal']","['albums I own', 'Melodic Death Metal', 'metal']"
Carach Angren,Where the Corpses Sink Forever,2012-05-18,20118,706615,['black metal'],"['Symphonic Black Metal', '2012', 'melodic black metal', 'Theatrical Black Metal']"
Suffocation,Pinnacle Of Bedlam,2013-02-15,20041,528082,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2013', 'Technical Brutal Death Metal']"
Testament,The New Order,1988-05-05,200299,2040073,"['thrash metal', 'heavy metal']","['albums I own', '1988', 'metal']"
Metallica,The Day That Never Comes,2008-08-21,1994,11512,[],['albums I own']
Opeth,Watershed,2008-05-28,199261,6676152,['death metal'],"['Progressive metal', 'albums I own', 'progressive death metal', '2008']"
Acid Witch,Witchtanic Hellucinations,2008-10-24,19916,602110,['doom metal'],"['Death Doom Metal', '2008', 'psychedelic doom metal', 'metal']"
Anathema,A Natural Disaster,2003-11-03,197727,5784151,['doom metal'],"['Progressive rock', 'albums I own', 'alternative rock', 'Progressive metal']"
Katatonia,Viva Emptiness,2003-03-24,197487,6690130,['doom metal'],"['albums I own', 'Progressive metal', '2003', 'metal']"
Burzum,Filosofem,1996-01-31,195823,4328260,"['black metal', 'ambient black metal']","['atmospheric black metal', 'dark ambient', 'albums I own']"
Immolation,Harnessing Ruin,2005-02-05,19574,352296,['death metal'],"['2005', 'Brutal Death Metal', 'Technical Death Metal', 'metal']"
Mastodon,Remission,2002-05-28,195600,3858804,"['sludge metal', 'metalcore']","['Progressive metal', '2002', 'albums I own']"
Warbringer,Waking Into Nightmares,2009-05-19,19558,517925,"['thrash metal', 'speed metal']","['2009', '2000s', '718 Metal']"
Immolation,Here in After,1996-01-29,19498,405532,['death metal'],"['Technical Death Metal', 'albums I own', '1996', 'old school death metal']"
Amon Amarth,Versus The World,2002-11-18,194530,4771660,"['viking metal', 'death metal']","['Melodic Death Metal', 'albums I own', 'metal']"
Heathen,The Evolution Of Chaos,2009-12-23,19445,310563,"['thrash metal', 'speed metal', 'heavy metal']","['2010', 'metal']"
Manowar,Fighting the World,1987-02-17,194215,2302714,['heavy metal'],"['albums I own', 'Power metal', 'metal', '1987']"
Toxik,Think This,1989,19399,366072,['thrash metal'],"['Technical Thrash Metal', 'Progressive metal', '1989', 'albums I own']"
Opeth,Deliverance,2002-11-04,192976,4647322,['death metal'],"['albums I own', 'progressive death metal', 'Progressive metal', 'metal']"
Children of Bodom,Something Wild,1997-02-16,192957,3295316,['death metal'],"['Melodic Death Metal', 'albums I own', 'Power metal', 'metal']"
Iced Earth,Something Wicked This Way Comes,1998-06-17,192509,2882758,"['heavy metal', 'thrash metal']","['Power metal', 'albums I own', '1998']"
Dimmu Borgir,Puritanical Euphoric Misanthropia,2001-03-12,192453,4396944,['black metal'],"['Symphonic Black Metal', 'albums I own', 'melodic black metal', 'metal']"
Megadeth,United Abominations,2007-05-09,192205,4793687,"['thrash metal', 'heavy metal']","['albums I own', 'Megadeth', '2007']"
Ingested,Surpassing the Boundaries of Human Suffering,2009-06-22,19212,399636,['death metal'],"['Brutal Death Metal', 'brutal deathcore', 'favorite albums', 'Gore']"
The Black Dahlia Murder,Nocturnal,2007-09-18,191787,5276193,"['death metal', 'deathcore', 'metalcore']","['Melodic Death Metal', 'albums I own']"
Origin,Informis Infinitas Inhumanitas,2002-05-02,19138,332510,['death metal'],"['Technical Death Metal', 'Brutal Death Metal', '2002', 'metal']"
Venom,Black Metal,1982,190073,2732328,"['black metal', 'speed metal', 'thrash metal', 'heavy metal', 'NWOBHM']",[]
Megadeth,The System Has Failed,2004-09-13,189830,4070316,"['thrash metal', 'heavy metal']","['albums I own', 'metal', '2004']"
Austere,To Lay Like Old Ashes,2009-02-27,18755,638550,"['black metal', 'blackgaze']","['depressive black metal', 'atmospheric black metal', '2009']"
Atheist,Jupiter,2010-11-08,18746,393329,['death metal'],"['Technical Death Metal', 'progressive death metal', '2010', 'Progressive metal']"
Ved Buens Ende,Written In Waters,1995,18700,423122,['black metal'],"['Progressive metal', 'Post-Black Metal', 'Avant-garde Metal', '1995']"
Manowar,Warriors of the World,2002-05-27,186961,3049531,['heavy metal'],"['Power metal', 'metal', 'epic metal', 'albums I own']"
Running Wild,Gates to Purgatory,1984,18621,391409,"['speed metal', 'heavy metal']","['1984', '80s', 'german']"
Agalloch,Ashes Against the Grain,2006-08-08,186109,5628456,"['doom metal', 'folk metal']","['Progressive metal', 'Atmospheric metal', 'albums I own']"
Cryptopsy,Cryptopsy,2012-09-11,18465,304903,['death metal'],"['Technical Death Metal', '2012', 'Brutal Death Metal', 'best of 2012']"
Thergothon,Stream From the Heavens,1994,18388,245762,"['doom metal', 'funeral doom']","['funeral doom metal', '1994', 'finnish']"
Psycroptic,The Scepter of the Ancients,2003-09-23,18382,492421,['death metal'],"['Technical Death Metal', '2003', 'Brutal Technical Death Metal', 'metal']"
Disembowelment,Transcendence Into the Peripheral,1993-09-01,18295,343788,"['doom metal', 'death metal']","['Death Doom Metal', '1993', 'metal']"
Judas Priest,Angel Of Retribution,2005-02-23,181953,2923145,"['heavy metal', 'NWOBHM']","['albums I own', 'metal', '2005']"
Wintersun,Wintersun,2004-08-25,181817,6276629,"['folk metal', 'viking metal']","['Melodic Death Metal', 'Power metal', 'albums I own']"
In Flames,The Jester Race,1996-02-20,181618,4806676,['death metal'],"['Melodic Death Metal', 'albums I own', '1996', 'metal']"
Sleep,Sleep's Holy Mountain,1992-11,181177,3225021,"['stoner metal', 'doom metal']","['Stoner Rock', 'albums I own', 'stoner doom']"
Slayer,Christ Illusion,2006-08-04,180907,4758057,"['thrash metal', 'heavy metal']","['albums I own', '2006', 'metal']"
Death,Symbolic,1995-03-21,180594,5714742,['death metal'],"['progressive death metal', 'Technical Death Metal', 'albums I own', 'metal']"
Avantasia,The Metal Opera,2001-01-22,180560,3339362,"['symphonic metal', 'heavy metal']","['Power metal', 'metal opera', 'albums I own']"
Cannibal Corpse,Tomb of the Mutilated,1992-09-22,180023,2604881,['death metal'],"['Brutal Death Metal', '1992', 'old school death metal', 'albums I own']"
Trivium,The Crusade,2006-01-01,178720,5987267,"['thrash metal', 'metalcore', 'heavy metal']","['albums I own', 'metal']"
Judas Priest,Redeemer of Souls,2014-07-08,17862,648376,['heavy metal'],"['2014', 'metal', 'albums I own', 'hard rock']"
Aborted,Global Flatline,2012-01-24,17849,729584,"['death metal', 'deathgrind', 'grindcore']","['Brutal Death Metal', '2012']"
Killswitch Engage,Killswitch Engage,2009-06-26,177847,4979266,['metalcore'],"['metal', 'albums I own', '2000', 'hardcore']"
Fear Factory,Demanufacture,1995-06-11,177822,3147251,[],"['industrial metal', 'albums I own', 'metal', '1995', 'groove metal']"
Rainbow,Rising,1976,177528,1888640,[],"['hard rock', 'classic rock', 'rock', 'Rainbow', '1976']"
Carcass,Heartwork,1993-10-28,177433,3885214,['death metal'],"['Melodic Death Metal', 'albums I own', 'metal', '1993']"
Opeth,Orchid,1995-05-15,176645,2805071,['death metal'],"['progressive death metal', 'Progressive metal', 'albums I own', '1995']"
Dimmu Borgir,Enthrone Darkness Triumphant,1997-05-30,176612,3615599,['black metal'],"['Symphonic Black Metal', 'melodic black metal', 'albums I own', 'Norwegian Black Metal']"
Inquisition,Obscure Verses for the Multiverse,2013-10-25,17656,589497,['black metal'],"['2013', 'best of 2013', 'metal', 'cosmic black metal']"
Rush,Rush,1974-03-01,176352,1554890,[],"['hard rock', 'Progressive rock', 'classic rock', 'albums I own', '1974']"
Massacre,From Beyond,1991-05-27,17496,323279,"['death metal', 'thrash metal']","['old school death metal', '1991', '90s']"
