artist,album,MA_score
Metallica,St. Anger,18.880000000000003
Megadeth,Endgame,18.87
Nightwish,Dark Passion Play,18.869999999999997
Artillery,By Inheritance,18.86
Cannibal Corpse,Kill,18.86
Iron Maiden,The Book of Souls,18.849999999999994
Blind Guardian,Somewhere Far Beyond,18.82
Kreator,Hordes of Chaos,18.77
Black Sabbath,Black Sabbath Vol 4,18.700000000000003
Dio,Holy Diver,18.7
Megadeth,Peace Sells... But Who's Buying?,18.7
Carcass,Surgical Steel,18.699999999999996
Anthrax,Among the Living,18.63
Opeth,Watershed,18.6
Drudkh,Autumn Aurora,18.549999999999997
Fleshgod Apocalypse,Agony,18.450000000000003
Iron Maiden,The Final Frontier,18.439999999999998
Black Sabbath,Sabbath Bloody Sabbath,18.419999999999998
Cattle Decapitation,Monolith of Inhumanity,18.400000000000002
Testament,The Formation of Damnation,18.4
Kreator,Phantom Antichrist,18.360000000000003
Megadeth,Youthanasia,18.27
Atheist,Unquestionable Presence,18.049999999999997
Arch Enemy,Rise of the Tyrant,18.02
Napalm Death,Scum,17.95
Judas Priest,Sad Wings of Destiny,17.92
Amorphis,Tales from the Thousand Lakes,17.91
Machine Head,The Blackening,17.9
Dream Theater,A Dramatic Turn of Events,17.89
Deathspell Omega,Paracletus,17.85
Queensrÿche,Operation: Mindcrime,17.81
Pantera,Cowboys from Hell,17.75
Testament,The Legacy,17.75
Iron Maiden,Brave New World,17.73
Carcass,Symphonies of Sickness,17.71
Rainbow,Rising,17.700000000000003
Type O Negative,"Slow, Deep and Hard",17.7
Entombed,Left Hand Path,17.65
Wolves in the Throne Room,Two Hunters,17.64
Darkthrone,The Underground Resistance,17.639999999999997
Deicide,Deicide,17.6
Katatonia,Brave Murder Day,17.57
Overkill,The Years of Decay,17.57
Morbid Angel,Covenant,17.549999999999997
Dimmu Borgir,Puritanical Euphoric Misanthropia,17.53
Amon Amarth,Twilight of the Thunder God,17.509999999999998
King Diamond,Abigail,17.5
Origin,Antithesis,17.5
Immolation,Close to a World Below,17.490000000000002
Helloween,Walls of Jericho,17.44
Exodus,Tempo of the Damned,17.43
Dream Theater,Metropolis Pt. 2: Scenes from a Memory,17.34
Helloween,Keeper of the Seven Keys Part II,17.310000000000002
Carach Angren,Where the Corpses Sink Forever,17.29
Immortal,Pure Holocaust,17.29
Blind Guardian,A Twist in the Myth,17.28
Akercocke,Antichrist,17.240000000000002
Burzum,Burzum,17.240000000000002
Bathory,Under the Sign of the Black Mark,17.23
Venom,Welcome to Hell,17.23
Katatonia,Last Fair Deal Gone Down,17.22
Acid Bath,When the Kite String Pops,17.18
Annihilator,"Never, Neverland",17.14
Alestorm,Captain Morgan's Revenge,17.09
Judas Priest,Screaming for Vengeance,17.08
Mayhem,Ordo ad Chao,17.07
Leviathan,The Tenth Sub Level of Suicide,17.009999999999998
Nile,Annihilation of the Wicked,17.009999999999998
Judas Priest,Firepower,16.999999999999996
Slayer,Seasons in the Abyss,16.98
Burzum,Det som engang var,16.979999999999997
Rush,2112,16.96
Immortal,Diabolical Fullmoon Mysticism,16.930000000000003
Death,Spiritual Healing,16.910000000000004
Alice in Chains,Black Gives Way to Blue,16.85
Testament,Practice What You Preach,16.85
Carcass,Reek of Putrefaction,16.810000000000002
Slayer,South of Heaven,16.78
Iron Maiden,Dance of Death,16.759999999999998
Bathory,Twilight of the Gods,16.71
Dark Tranquillity,Fiction,16.69
Blind Guardian,Beyond the Red Mirror,16.680000000000003
Amon Amarth,Surtur Rising,16.68
DragonForce,Ultra Beatdown,16.68
Children of Bodom,Something Wild,16.67
Blind Guardian,Nightfall in Middle-Earth,16.669999999999998
Annihilator,Alice in Hell,16.66
Symphony X,Iconoclast,16.64
Blind Guardian,Tales from the Twilight World,16.58
Down,NOLA,16.58
Deicide,The Stench of Redemption,16.54
Dimmu Borgir,In Sorte Diaboli,16.54
Bolt Thrower,Those Once Loyal,16.509999999999998
In Flames,The Jester Race,16.490000000000002
Autopsy,Mental Funeral,16.43
Emperor,Anthems to the Welkin at Dusk,16.43
Symphony X,The Divine Wings of Tragedy,16.41
In Flames,A Sense of Purpose,16.33
Mayhem,De Mysteriis Dom Sathanas,16.33
1349,Hellfire,16.32
Deafheaven,Sunbather,16.299999999999997
Exhorder,Slaughter in the Vatican,16.299999999999997
Helloween,Keeper of the Seven Keys Part I,16.240000000000002
Immortal,Northern Chaos Gods,16.24
Gojira,From Mars to Sirius,16.229999999999997
Mastodon,Crack the Skye,16.22
Meshuggah,Chaosphere,16.209999999999997
Carcass,Heartwork,16.2
Ozzy Osbourne,Blizzard of Ozz,16.2
Nevermore,This Godless Endeavor,16.199999999999996
Sonata Arctica,Reckoning Night,16.15
Slayer,World Painted Blood,16.130000000000003
Mastodon,Blood Mountain,16.09
Lamb of God,Ashes of the Wake,16.08
Nightwish,Century Child,16.08
Meshuggah,Koloss,16.009999999999998
Bolt Thrower,The IVth Crusade,16.0
Blut aus Nord,The Work Which Transforms God,15.98
Iced Earth,Night of the Stormrider,15.97
Kreator,Endless Pain,15.96
Mercyful Fate,Melissa,15.96
Overkill,Horrorscope,15.95
Burzum,Fallen,15.940000000000001
Alice in Chains,Dirt,15.920000000000002
DragonForce,Valley of the Damned,15.909999999999998
Savatage,Hall of the Mountain King,15.85
Carcass,Necroticism - Descanting the Insalubrious,15.799999999999999
At the Gates,The Red in the Sky Is Ours,15.73
Opeth,Ghost Reveries,15.7
Lamb of God,As the Palaces Burn,15.670000000000002
Gorgoroth,Quantos Possunt ad Satanitatem Trahunt,15.67
Meshuggah,obZen,15.66
Metal Church,Metal Church,15.65
Demolition Hammer,Tortured Existence,15.61
Dissection,Reinkaos,15.600000000000001
Megadeth,The System Has Failed,15.600000000000001
Equilibrium,Sagas,15.6
Blood Incantation,Hidden History of the Human Race,15.559999999999999
Fates Warning,Awaken the Guardian,15.55
Heaven & Hell,The Devil You Know,15.530000000000001
Blind Guardian,Battalions of Fear,15.53
Nightwish,Once,15.509999999999998
Alcest,Souvenirs d'un autre monde,15.5
Nightwish,Imaginaerum,15.5
Judas Priest,Ram It Down,15.46
Vital Remains,Dechristianize,15.45
Sodom,Persecution Mania,15.43
Overkill,Feel the Fire,15.420000000000002
Iced Earth,Burnt Offerings,15.400000000000002
Blind Guardian,At the Edge of Time,15.39
Enslaved,Frost,15.389999999999997
Slayer,Haunting the Chapel,15.380000000000003
Morbid Angel,Blessed Are the Sick,15.38
Black Sabbath,Mob Rules,15.370000000000001
Amon Amarth,Fate of Norns,15.32
Massacre,From Beyond,15.32
Mayhem,De Mysteriis Dom. Sathanas,15.31
Behemoth,The Apostasy,15.3
Marduk,Rom 5:12,15.280000000000001
Type O Negative,October Rust,15.25
Necrophagist,Onset of Putrefaction,15.239999999999998
Black Sabbath,Dehumanizer,15.21
Morbid Angel,Heretic,15.21
Judas Priest,British Steel,15.189999999999998
Sepultura,Arise,15.15
Gorgoroth,Pentagram,15.1
Opeth,Morningrise,15.09
Black Sabbath,Sabotage,15.080000000000002
Venom,Black Metal,15.06
Kamelot,The Black Halo,15.059999999999999
Symphony X,The Odyssey,15.059999999999999
Cannibal Corpse,Evisceration Plague,15.04
Iron Maiden,No Prayer for the Dying,15.04
Darkthrone,Panzerfaust,15.029999999999998
Deathspell Omega,"Fas - Ite, Maledicti, in Ignem Aeternum",15.02
Candlemass,Nightfall,14.99
Nile,Those Whom the Gods Detest,14.98
Agalloch,Pale Folklore,14.959999999999999
Cryptopsy,Whisper Supremacy,14.940000000000001
Dark Tranquillity,Character,14.910000000000002
Bathory,The Return......,14.889999999999999
Pig Destroyer,Prowler in the Yard,14.870000000000001
Ozzy Osbourne,Bark at the Moon,14.78
Amon Amarth,Versus the World,14.760000000000002
All Shall Perish,The Price of Existence,14.74
Immortal,Battles in the North,14.74
Mayhem,Live in Leipzig,14.71
Nightwish,Angels Fall First,14.71
Ghost,Infestissumam,14.709999999999997
In Flames,Come Clarity,14.690000000000001
Children of Bodom,Blooddrunk,14.66
Sepultura,Schizophrenia,14.649999999999999
Darkthrone,The Cult Is Alive,14.64
DragonForce,Inhuman Rampage,14.64
Mötley Crüe,Shout at the Devil,14.64
Autopsy,Severed Survival,14.610000000000001
Nevermore,Dead Heart in a Dead World,14.590000000000002
Decapitated,Winds of Creation,14.59
Riot V,Thundersteel,14.540000000000001
The Black Dahlia Murder,Nocturnal,14.530000000000001
Dying Fetus,Reign Supreme,14.520000000000001
Ne Obliviscaris,The Aurora Veil,14.520000000000001
The Mob,Demo,14.490000000000002
Darkthrone,F.O.A.D.,14.489999999999998
Rush,Moving Pictures,14.440000000000001
Portal,Outre',14.44
Satyricon,Dark Medieval Times,14.43
Summoning,Let Mortal Heroes Sing Your Fame,14.43
W.A.S.P.,The Crimson Idol,14.420000000000002
Morbid Angel,Formulas Fatal to the Flesh,14.290000000000001
Nile,Ithyphallic,14.279999999999998
Heathen,Victims of Deception,14.239999999999998
Symphony X,V: The New Mythology Suite,14.230000000000002
Obituary,Slowly We Rot,14.23
Sarcófago,I.N.R.I.,14.23
Opeth,Damnation,14.200000000000001
Machine Head,Burn My Eyes,14.150000000000002
Cradle of Filth,Godspeed on the Devil's Thunder,14.15
Drudkh,Forgotten Legends,14.15
Testament,Dark Roots of Earth,14.129999999999999
Dissection,The Somberlain,14.120000000000001
Children of Bodom,Are You Dead Yet?,14.110000000000001
Sonata Arctica,Ecliptica,14.110000000000001
Anthrax,Fistful of Metal,14.11
Overkill,Ironbound,14.090000000000002
Cannibal Corpse,Torture,14.09
Malevolent Creation,The Ten Commandments,14.09
Kreator,Extreme Aggression,14.080000000000002
Iron Maiden,Fear of the Dark,14.070000000000002
Katatonia,Discouraged Ones,14.030000000000001
Beherit,Drawing Down the Moon,14.01
Immortal,Blizzard Beasts,14.01
Morbid Angel,Kingdoms Disdained,14.0
Alcest,Écailles de lune,13.98
Nokturnal Mortum,Голос сталі,13.98
Darkthrone,Soulside Journey,13.979999999999997
Judas Priest,Jugulator,13.97
Sepultura,Morbid Visions,13.969999999999999
Deathspell Omega,"Si Monvmentvm Reqvires, Circvmspice",13.959999999999999
Velvet Cacoon,Genevieve,13.93
Sonata Arctica,Winterheart's Guild,13.910000000000002
Sonata Arctica,Unia,13.91
Decrepit Birth,Diminishing Between Worlds,13.89
Danzig,Danzig,13.889999999999999
Meshuggah,Catch Thirtythree,13.850000000000001
Disembowelment,Transcendence into the Peripheral,13.84
Flotsam and Jetsam,Doomsday for the Deceiver,13.81
Rush,A Farewell to Kings,13.81
Bolt Thrower,In Battle There Is No Law!,13.8
Iron Maiden,Virtual XI,13.8
Opeth,Deliverance,13.799999999999999
Black Sabbath,The Eternal Idol,13.770000000000001
Killswitch Engage,Alive or Just Breathing,13.770000000000001
Nightwish,Endless Forms Most Beautiful,13.77
Strapping Young Lad,Alien,13.740000000000002
Marduk,Panzer Division Marduk,13.73
Arsis,A Celebration of Guilt,13.71
Cannibal Corpse,The Bleeding,13.71
DragonForce,The Power Within,13.709999999999999
Psycroptic,The Scepter of the Ancients,13.690000000000001
Bruce Dickinson,The Chemical Wedding,13.67
Killswitch Engage,Killswitch Engage,13.64
Nevermore,The Obsidian Conspiracy,13.62
Napalm Death,From Enslavement to Obliteration,13.61
Agalloch,Marrow of the Spirit,13.600000000000001
Exodus,Fabulous Disaster,13.59
Cathedral,Forest of Equilibrium,13.58
Metallica,Load,13.58
Sunn O))),Black One,13.57
Slayer,Divine Intervention,13.559999999999999
Sonata Arctica,Silence,13.559999999999999
Anaal Nathrakh,In the Constellation of the Black Widow,13.54
Death Angel,The Ultra-Violence,13.54
Nevermore,Enemies of Reality,13.530000000000001
Destruction,Infernal Overkill,13.51
Morbid Angel,Domination,13.5
Terrorizer,World Downfall,13.49
Slayer,Christ Illusion,13.489999999999998
Repulsion,Slaughter of the Innocent,13.469999999999999
Bloodbath,Unblessing the Purity,13.45
Into Eternity,Buried in Oblivion,13.45
Mayhem,Grand Declaration of War,13.41
The Faceless,Planetary Duality,13.39
Kreator,Enemy of God,13.370000000000001
Dethklok,The Dethalbum,13.360000000000001
Katatonia,Tonight's Decision,13.35
Megadeth,Cryptic Writings,13.35
Soundgarden,Superunknown,13.299999999999999
Cryptopsy,Blasphemy Made Flesh,13.290000000000001
Enslaved,Vertebrae,13.29
Judas Priest,Defenders of the Faith,13.29
Judas Priest,Nostradamus,13.27
Sodom,In the Sign of Evil,13.27
Behemoth,Demigod,13.25
Opeth,Heritage,13.25
Dimmu Borgir,Abrahadabra,13.219999999999999
Cradle of Filth,Midian,13.2
Stratovarius,Visions,13.19
Pestilence,Spheres,13.17
Whitechapel,This Is Exile,13.17
Amon Amarth,Once Sent from the Golden Hall,13.169999999999998
Gorgoroth,Antichrist,13.159999999999998
Mercyful Fate,Don't Break the Oath,13.15
Children of Bodom,Hatebreeder,13.09
Job for a Cowboy,Genesis,13.09
Darkthrone,Dark Thrones and Black Flags,13.059999999999999
Lacuna Coil,Comalies,13.059999999999999
Cynic,Traced in Air,13.05
Cannibal Corpse,Butchered at Birth,13.030000000000001
Ensiferum,Ensiferum,13.02
Wormed,Planisphærium,13.010000000000002
Cannibal Corpse,The Wretched Spawn,13.009999999999998
Faith No More,The Real Thing,13.0
Anthrax,Persistence of Time,12.98
Dream Theater,Black Clouds & Silver Linings,12.96
Nevermore,Dreaming Neon Black,12.95
Warbringer,War Without End,12.95
Iced Earth,Dystopia,12.940000000000001
Ved Buens Ende,Written in Waters,12.94
All That Remains,The Fall of Ideals,12.93
DragonForce,Sonic Firestorm,12.93
Brain Drill,Apocalyptic Feasting,12.87
Blind Guardian,Follow the Blind,12.840000000000002
Dream Theater,Train of Thought,12.809999999999999
Mastodon,The Hunter,12.8
Fear Factory,Soul of a New Machine,12.799999999999999
Ozzy Osbourne,The Ultimate Sin,12.790000000000001
Helstar,Nosferatu,12.79
Electric Wizard,Dopethrone,12.770000000000001
Rainbow,Ritchie Blackmore's Rainbow,12.77
Vader,Litany,12.75
Exodus,Impact Is Imminent,12.739999999999998
Finntroll,Nattfödd,12.72
Cradle of Filth,Cruelty and the Beast,12.71
Manowar,Gods of War,12.71
Dream Theater,Octavarium,12.7
Primordial,To the Nameless Dead,12.690000000000001
Dead Congregation,Graves of the Archangels,12.69
Faith No More,Angel Dust,12.68
Nocturnus,The Key,12.679999999999998
Iced Earth,Alive in Athens,12.670000000000002
Cannibal Corpse,A Skeletal Domain,12.65
Bathory,Hammerheart,12.64
Rush,Permanent Waves,12.64
Anaal Nathrakh,The Codex Necro,12.620000000000001
Hell,Human Remains,12.61
Hibria,Defying the Rules,12.549999999999999
Judas Priest,Sin After Sin,12.540000000000001
Cryptopsy,Once Was Not,12.54
Children of Bodom,Hate Crew Deathroll,12.52
Ensiferum,Victory Songs,12.510000000000002
Vital Remains,Icons of Evil,12.51
Ihsahn,The Adversary,12.5
Inquisition,Obscure Verses for the Multiverse,12.5
Type O Negative,Bloody Kisses,12.499999999999998
Arcturus,The Sham Mirrors,12.479999999999999
Incantation,Onward to Golgotha,12.44
Mastodon,Remission,12.410000000000002
Lost Horizon,A Flame to the Ground Beneath,12.41
Manowar,Warriors of the World,12.41
Morbid Angel,Gateways to Annihilation,12.409999999999998
Amorphis,Am Universum,12.389999999999999
Immolation,Dawn of Possession,12.38
Slayer,Repentless,12.38
Sacramentum,Far Away from the Sun,12.37
Cellador,Enter Deception,12.36
Judas Priest,Angel of Retribution,12.36
Dream Theater,Six Degrees of Inner Turbulence,12.350000000000001
Testament,Souls of Black,12.35
Municipal Waste,Hazardous Mutation,12.329999999999998
Pantera,Power Metal,12.299999999999999
Dark Angel,Time Does Not Heal,12.290000000000001
Amorphis,Silent Waters,12.23
Forbidden,Twisted into Form,12.23
Kyuss,Blues for the Red Sun,12.219999999999999
The Faceless,Akeldama,12.21
Evile,Enter the Grave,12.209999999999999
Judas Priest,Unleashed in the East,12.209999999999999
Sunn O))),Monoliths & Dimensions,12.190000000000001
Quo Vadis,Defiant Imagination,12.189999999999998
Shining,V - Halmstad (Niklas angående Niklas),12.17
Summoning,Old Mornings Dawn,12.13
Angel Witch,Angel Witch,12.129999999999999
Mayhem,Wolf's Lair Abyss,12.1
Alice in Chains,Alice in Chains,12.09
Nokturnal Mortum,Нехристь,12.09
Devourment,Molesting the Decapitated,12.08
Mayhem,Esoteric Warfare,12.060000000000002
Vinterland,Welcome My Last Chapter,12.059999999999999
Manowar,Hail to England,12.05
Electric Wizard,Witchcult Today,12.049999999999999
Destruction,Sentence of Death,12.0
I,Between Two Worlds,11.989999999999998
Liege Lord,Master Control,11.98
Pantera,Far Beyond Driven,11.98
Alice in Chains,Facelift,11.979999999999999
Helloween,Gambling with the Devil,11.97
Blut aus Nord,Ultima Thulée,11.96
Arch Enemy,Burning Bridges,11.95
Skid Row,Skid Row,11.94
Dark Angel,Leave Scars,11.93
Necrophobic,The Nocturnal Silence,11.93
Testament,The Gathering,11.919999999999998
Forbidden,Forbidden Evil,11.91
Nile,At the Gate of Sethu,11.91
Emperor,Prometheus - The Discipline of Fire & Demise,11.870000000000001
Machine Head,Unto the Locust,11.870000000000001
Motörhead,Ace of Spades,11.870000000000001
Overkill,Taking Over,11.86
Woods of Ypres,Woods 5: Grey Skies & Electric Light,11.85
Primordial,Redemption at the Puritan's Hand,11.84
Sodom,Sodom,11.84
Ozzy Osbourne,Diary of a Madman,11.830000000000002
Rush,Hemispheres,11.820000000000002
3 Inches of Blood,Fire Up the Blades,11.81
Dimmu Borgir,Stormblåst MMV,11.81
Spawn of Possession,Incurso,11.809999999999999
Twilight Force,Heroes of Mighty Magic,11.8
Godflesh,Streetcleaner,11.790000000000001
Sadus,Illusions,11.77
Sodom,Obsessed by Cruelty,11.77
Strapping Young Lad,City,11.77
The Gathering,Mandylion,11.77
Atheist,Piece of Time,11.750000000000002
Cannibal Corpse,Eaten Back to Life,11.739999999999998
Sleep,Dopesmoker,11.69
Taake,Noregs vaapen,11.69
Blut aus Nord,777 - Sect(s),11.68
My Dying Bride,Turn Loose the Swans,11.67
Suffocation,Breeding the Spawn,11.67
Soilwork,Stabbing the Drama,11.66
Judas Priest,Turbo,11.65
Obscura,Cosmogenesis,11.65
Arghoslent,Hornets of the Pogrom,11.64
Sigh,In Somniphobia,11.64
Arch Enemy,Wages of Sin,11.63
Wolves in the Throne Room,Black Cascade,11.629999999999999
Pestilence,Malleus Maleficarum,11.61
Satyricon,Nemesis Divina,11.6
Mgła,With Hearts Toward None,11.56
Exodus,Blood in Blood Out,11.559999999999999
My Dying Bride,The Angel and the Dark River,11.559999999999999
Diamond Head,Lightning to the Nations,11.55
In Flames,Clayman,11.55
Aborted,Global Flatline,11.530000000000001
Overkill,I Hear Black,11.53
Wintersun,The Forest Seasons,11.53
Gorgoroth,Ad Majorem Sathanas Gloriam,11.52
Metallica,The Day That Never Comes,11.519999999999998
Cradle of Filth,Thornography,11.51
Queensrÿche,Queensrÿche,11.51
Children of Bodom,Halo of Blood,11.49
Celtic Frost,To Mega Therion,11.48
Mayhem,Chimera,11.469999999999999
Moonspell,Wolfheart,11.46
Grim Reaper,See You in Hell,11.450000000000001
Isis,Panopticon,11.450000000000001
Slayer,God Hates Us All,11.42
Cannibal Corpse,Bloodthirst,11.41
S.O.D.,Speak English or Die,11.39
Testament,Titans of Creation,11.39
Arch Enemy,Doomsday Machine,11.379999999999999
Destruction,Eternal Devastation,11.370000000000001
Immolation,Providence,11.37
Nile,Black Seeds of Vengeance,11.360000000000001
Amesoeurs,Amesoeurs,11.350000000000001
Disillusion,Back to Times of Splendor,11.35
Rotting Christ,Theogonia,11.35
Meshuggah,Nothing,11.34
Mastodon,Leviathan,11.33
Trivium,Ascendancy,11.33
Nightwish,Wishmaster,11.329999999999998
Paimonia,Disease Named Humanity,11.329999999999998
White Wizzard,Over the Top,11.310000000000002
Heathen,The Evolution of Chaos,11.31
Visigoth,The Revenant King,11.31
Rainbow,Long Live Rock 'n' Roll,11.290000000000001
Candlemass,King of the Grey Islands,11.29
Summoning,Oath Bound,11.29
Moonsorrow,Kivenkantaja,11.280000000000001
Megadeth,Th1rt3en,11.27
Control Denied,The Fragile Art of Existence,11.219999999999999
Darkspace,Dark Space III,11.21
Avantasia,The Metal Opera,11.2
Ayreon,The Human Equation,11.2
Fates Warning,The Spectre Within,11.190000000000001
Demons & Wizards,Touched by the Crimson King,11.18
Blut aus Nord,Memoria Vetusta I: Fathers of the Icy Age,11.17
Blut aus Nord,Memoria Vetusta II: Dialogue with the Stars,11.149999999999999
Voivod,Killing Technology,11.149999999999999
Power Trip,Nightmare Logic,11.14
Soilwork,Natural Born Chaos,11.14
Testament,Low,11.14
Idle Hands,Mana,11.12
Chaos Synopsis,Art of Killing,11.110000000000001
Immortal,Damned in Black,11.100000000000001
Autopsy,Macabre Eternal,11.059999999999999
Fear Factory,Demanufacture,11.059999999999999
Satyricon,"Now, Diabolical",11.04
Deicide,Scars of the Crucifix,11.02
The Berzerker,Dissimulate,11.02
Amorphis,Eclipse,11.01
Cryptopsy,And Then You'll Beg,11.0
Primordial,The Gathering Wilderness,11.0
Taake,Nattestid ser porten vid,11.0
Dream Theater,When Dream and Day Unite,10.99
Absu,Tara,10.97
Behemoth,Zos Kia Cultus (Here and Beyond),10.96
Gorguts,The Erosion of Sanity,10.96
Suffocation,Human Waste,10.96
Heathen,Breaking the Silence,10.959999999999999
Rhapsody of Fire,Symphony of Enchanted Lands,10.950000000000001
Summoning,Minas Morgul,10.950000000000001
The Red Chord,Fused Together in Revolving Doors,10.95
Killswitch Engage,The End of Heartache,10.94
Origin,Informis Infinitas Inhumanitas,10.94
Scorpions,Blackout,10.930000000000001
Dark Angel,We Have Arrived,10.92
Strapping Young Lad,The New Black,10.9
W.A.S.P.,W.A.S.P.,10.9
Amon Amarth,Deceiver of the Gods,10.89
Satyricon,Satyricon,10.880000000000003
Isis,Oceanic,10.88
Obituary,Xecutioner's Return,10.88
Lost Horizon,Awakening the World,10.879999999999999
The Faceless,Autotheism,10.879999999999999
Sabaton,The Great War,10.87
Sodom,Code Red,10.860000000000001
Skinless,"Trample the Weak, Hurdle the Dead",10.86
Summoning,Stronghold,10.86
Thergothon,Stream from the Heavens,10.86
Weakling,Dead as Dreams,10.86
Queensrÿche,Empire,10.859999999999998
Vektor,Outer Isolation,10.85
Electric Wizard,Come My Fanatics....,10.84
Necrovore,Divus de Mortuus,10.83
Dream Theater,Systematic Chaos,10.82
Gamma Ray,Land of the Free,10.82
Trivium,Shogun,10.82
Blind Guardian,Imaginations from the Other Side,10.81
Therion,Secret of the Runes,10.809999999999999
Demons & Wizards,Demons & Wizards,10.790000000000001
Cattle Decapitation,The Anthropocene Extinction,10.79
Municipal Waste,The Art of Partying,10.79
Testament,Brotherhood of the Snake,10.79
Therion,Theli,10.780000000000001
Exodus,Pleasures of the Flesh,10.76
Voivod,Nothingface,10.75
Coroner,Punishment for Decadence,10.74
Manowar,Sign of the Hammer,10.74
Enslaved,In Times,10.730000000000002
Halford,Resurrection,10.73
Morbid Angel,Illud Divinum Insanus,10.73
Bolt Thrower,Honour - Valour - Pride,10.719999999999999
